Software Name,Official Download Link,Affiliate Link,Manufacturer,SEO-friendly Slug
Google Chrome,https://www.google.com/chrome/,N/A,Google,google-chrome
Mozilla Firefox,https://www.mozilla.org/firefox/,N/A,Mozilla,mozilla-firefox
Microsoft Edge,https://www.microsoft.com/edge,N/A,Microsoft,microsoft-edge
Brave Browser,https://brave.com/download/,N/A,Brave Software,brave-browser
VLC Media Player,https://www.videolan.org/vlc/,N/A,VideoLAN,vlc-media-player
Spotify,https://www.spotify.com/download/,N/A,Spotify,spotify
iTunes,https://www.apple.com/itunes/,N/A,Apple Inc.,itunes
Microsoft Office,https://www.microsoft.com/microsoft-365,N/A,Microsoft,microsoft-office
LibreOffice,https://www.libreoffice.org/download/,N/A,The Document Foundation,libreoffice
Adobe Acrobat Reader,https://get.adobe.com/reader/,N/A,Adobe Inc.,adobe-acrobat-reader
GIMP,https://www.gimp.org/downloads/,N/A,The GIMP Team,gimp
Paint.NET,https://www.getpaint.net/download.html,N/A,dotPDN LLC,paintnet
7-Zip,https://www.7-zip.org/,N/A,7-Zip Team,7-zip
WinRAR,https://www.win-rar.com/download.html,N/A,win.rar GmbH,winrar
Dropbox,https://www.dropbox.com/install,N/A,Dropbox,dropbox
Google Drive,https://www.google.com/drive/download/,N/A,Google,google-drive
Microsoft OneDrive,https://onedrive.live.com/about/en-us/download/,N/A,Microsoft,onedrive
TeamViewer,https://www.teamviewer.com/en/download/,N/A,TeamViewer GmbH,teamviewer
Zoom,https://zoom.us/download,N/A,Zoom Video Communications,zoom
Skype,https://www.skype.com/download,N/A,Microsoft,skype
Slack,https://slack.com/downloads/,N/A,Slack Technologies,slack
Discord,https://discord.com/download,N/A,Discord Inc.,discord
Steam,https://store.steampowered.com/about/,N/A,Valve Corporation,steam
Epic Games Launcher,https://www.epicgames.com/store/en-US/download,N/A,Epic Games,epic-games-launcher
OBS Studio,https://obsproject.com/download,N/A,OBS Project,obs-studio
HandBrake,https://handbrake.fr/downloads.php,N/A,HandBrake Team,handbrake
Notepad++,https://notepad-plus-plus.org/downloads/,N/A,Notepad++ Community,notepad-plus-plus
Sublime Text,https://www.sublimetext.com/3,N/A,Sublime HQ,sublime-text
Visual Studio Code,https://code.visualstudio.com/download,N/A,Microsoft,visual-studio-code
Visual Studio,https://visualstudio.microsoft.com/vs/,N/A,Microsoft,visual-studio
Git,https://git-scm.com/downloads,N/A,The Git Community,git
GitHub Desktop,https://desktop.github.com/,N/A,GitHub,github-desktop
Postman,https://www.postman.com/downloads/,N/A,Postman,postman
Thunderbird,https://www.thunderbird.net/,N/A,Thunderbird Community,thunderbird
Bitwarden,https://bitwarden.com/download/,N/A,Bitwarden Inc.,bitwarden
LastPass,https://www.lastpass.com/download,N/A,LogMeIn,lastpass
Malwarebytes,https://www.malwarebytes.com/,N/A,Malwarebytes Inc.,malwarebytes
Avast Free Antivirus,https://www.avast.com/free-antivirus-download,N/A,Avast,avast-free-antivirus
Bitdefender Free,https://www.bitdefender.com/solutions/free.html,N/A,Bitdefender,bitdefender-free
CCleaner,https://www.ccleaner.com/ccleaner/download,N/A,Avast (Piriform),ccleaner
VirtualBox,https://www.virtualbox.org/wiki/Downloads,N/A,Oracle,virtualbox
VMware Workstation Player,https://www.vmware.com/products/workstation-player/workstation-player-evaluation.html,N/A,VMware,vmware-workstation-player
Docker Desktop,https://www.docker.com/products/docker-desktop,N/A,Docker,docker-desktop
